date,chinook_day,chin_cum,sock_day,sock_cum,coho_day,coho_cum,treatment
8/14/20,625,"5,709",7,"22,724",0,0,off
8/15/20,170,"5,879",0,"22,724",0,0,on
8/16/20,551,"6,430",0,"22,724",0,0,on
8/17/20,281,"6,711",0,"22,724",0,0,on
8/18/20,239,"6,949",0,"22,724",0,0,off
8/19/20,520,"7,469",0,"22,724",0,0,on
8/20/20,333,"7,802",0,"22,724",0,0,on
8/21/20,585,"8,387",0,"22,724",0,0,on
8/22/20,296,"8,683",0,"22,724",0,0,off
8/23/20,499,"9,182",0,"22,724",0,0,off
8/24/20,248,"9,430",0,"22,724",0,0,on
8/25/20,152,"9,582",0,"22,724",0,0,on
8/26/20,463,"10,045",0,"22,724",0,0,on
8/27/20,227,"10,272",0,"22,724",0,0,on
8/28/20,243,"10,515",0,"22,724",0,0,off
8/29/20,369,"10,884",0,"22,724",0,0,off
8/30/20,369,"11,253",0,"22,724",0,0,off
8/31/20,162,"11,415",0,"22,724",0,0,off
9/1/20,266,"11,681",0,"22,724",60,60,off
9/2/20,113,"11,794",0,"22,724",32,92,on
9/3/20,151,"11,946",0,"22,724",256,348,on
9/4/20,21,"11,967",0,"22,724",174,522,on
9/5/20,25,"11,992",0,"22,724",40,561,off
9/6/20,58,"12,050",0,"22,724",106,668,on
9/7/20,45,"12,095",0,"22,724",136,804,on
9/8/20,86,"12,181",0,"22,724",228,"1,032",on
9/9/20,18,"12,198",0,"22,724",252,"1,284",off
9/10/20,0,"12,198",0,"22,724",728,"2,012",on
9/11/20,127,"12,326",0,"22,724","1,026","3,038",on
9/12/20,60,"12,385",0,"22,724",572,"3,611",on
9/13/20,0,"12,385",0,"22,724",13,"3,624",on
9/14/20,8,"12,394",0,"22,724",139,"3,763",on